Gene	Name
CD72	CD72 molecule 
GSTM1	glutathione S-transferase mu 1 
IL1A	"interleukin 1, alpha "
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 
CCL5	chemokine (C-C motif) ligand 5 
CD72	CD72 molecule 
GSTM1	glutathione S-transferase mu 1 
IL1A	"interleukin 1, alpha "
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 
CCL5	chemokine (C-C motif) ligand 5 
NELFCD	negative elongation factor complex member C/D 
BANK1	B-cell scaffold protein with ankyrin repeats 1 
CD247	CD247 molecule 
CD14	CD14 molecule 
DNMT1	DNA (cytosine-5-)-methyltransferase 1 
ARID3A	AT rich interactive domain 3A (BRIGHT-like) 
CXCR3	chemokine (C-X-C motif) receptor 3 
IL1RN	interleukin 1 receptor antagonist 
IRF3	interferon regulatory factor 3 
MFGE8	milk fat globule-EGF factor 8 protein 
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor) 
TNFRSF11B	"tumor necrosis factor receptor superfamily, member 11b "
RPLP0	"ribosomal protein, large, P0 "
TLR3	toll-like receptor 3 
ADIPOQ	"adiponectin, C1Q and collagen domain containing "
ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif, 13 "
IFIH1	interferon induced with helicase C domain 1 
APOA1	apolipoprotein A-I 
CSF3	colony stimulating factor 3 (granulocyte) 
HLA-A	"major histocompatibility complex, class I, A "
IRF1	interferon regulatory factor 1 
IRF7	interferon regulatory factor 7 
LTA	lymphotoxin alpha 
MECP2	methyl CpG binding protein 2 
MEFV	Mediterranean fever 
CIITA	"class II, major histocompatibility complex, transactivator "
MMP2	matrix metallopeptidase 2 
MMP9	matrix metallopeptidase 9 
TROVE2	"TROVE domain family, member 2 "
SSB	Sjogren syndrome antigen B (autoantigen La) 
TNFRSF1B	"tumor necrosis factor receptor superfamily, member 1B "
TPMT	thiopurine S-methyltransferase 
TNFRSF4	"tumor necrosis factor receptor superfamily, member 4 "
SOCS1	suppressor of cytokine signaling 1 
IKZF1	IKAROS family zinc finger 1 (Ikaros) 
IKZF3	IKAROS family zinc finger 3 (Aiolos) 
IL17F	interleukin 17F 
ANXA5	annexin A5 
CSF2	colony stimulating factor 2 (granulocyte-macrophage) 
CYP2D6	"cytochrome P450, family 2, subfamily D, polypeptide 6 "
DNASE1L3	deoxyribonuclease I-like 3 
GABRP	"gamma-aminobutyric acid (GABA) A receptor, pi "
GAS6	growth arrest-specific 6 
HRES1	HTLV-1 related endogenous sequence 
HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1 "
IL9	interleukin 9 
LCN2	lipocalin 2 
CXCL9	chemokine (C-X-C motif) ligand 9 
NFKBIA	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha "
ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1 "
POMC	proopiomelanocortin 
PON1	paraoxonase 1 
PRKAA1	"protein kinase, AMP-activated, alpha 1 catalytic subunit "
RFC1	"replication factor C (activator 1) 1, 145kDa "
TGFB1	"transforming growth factor, beta 1 "
TNFRSF1A	"tumor necrosis factor receptor superfamily, member 1A "
TNFSF13	"tumor necrosis factor (ligand) superfamily, member 13 "
TNFRSF18	"tumor necrosis factor receptor superfamily, member 18 "
CHAF1A	"chromatin assembly factor 1, subunit A (p150) "
NLRP1	"NLR family, pyrin domain containing 1 "
IL37	interleukin 37 
TBX21	T-box 21 
SIGIRR	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain 
NLRP3	"NLR family, pyrin domain containing 3 "
SLC15A4	"solute carrier family 15 (oligopeptide transporter), member 4 "
IL31	interleukin 31 
MICA	MHC class I polypeptide-related sequence A 
PARP1	poly (ADP-ribose) polymerase 1 
FAS	Fas cell surface death receptor 
CXCR5	chemokine (C-X-C motif) receptor 5 
CAT	catalase 
CD38	CD38 molecule 
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1) "
DDIT3	DNA-damage-inducible transcript 3 
F10	coagulation factor X 
FLI1	"Fli-1 proto-oncogene, ETS transcription factor "
MTOR	mechanistic target of rapamycin (serine/threonine kinase) 
GSTT1	glutathione S-transferase theta 1 
HLA-DRB5	"major histocompatibility complex, class II, DR beta 5 "
CYR61	"cysteine-rich, angiogenic inducer, 61 "
IL2RA	"interleukin 2 receptor, alpha "
IDO1	"indoleamine 2,3-dioxygenase 1 "
LGALS9	"lectin, galactoside-binding, soluble, 9 "
MBP	myelin basic protein 
NCF2	neutrophil cytosolic factor 2 
NGF	nerve growth factor (beta polypeptide) 
OGG1	8-oxoguanine DNA glycosylase 
PEPD	peptidase D 
PGF	placental growth factor 
MAPK8	mitogen-activated protein kinase 8 
SLAMF1	signaling lymphocytic activation molecule family member 1 
SIGLEC1	"sialic acid binding Ig-like lectin 1, sialoadhesin "
UBE2L3	ubiquitin-conjugating enzyme E2L 3 
VCAM1	vascular cell adhesion molecule 1 
FCN3	ficolin (collagen/fibrinogen domain containing) 3 
CLEC16A	"C-type lectin domain family 16, member A "
TNPO3	transportin 3 
LBH	limb bud and heart development 
ARID5B	AT rich interactive domain 5B (MRF1-like) 
IL1F10	"interleukin 1 family, member 10 (theta) "
ARID5B	AT rich interactive domain 5B (MRF1-like) 
IL1F10	"interleukin 1 family, member 10 (theta) "
IFNLR1	"interferon, lambda receptor 1 "
IL27	interleukin 27 
CIMT	Carotid intimal medial thickness 
AKT1	v-akt murine thymoma viral oncogene homolog 1 
AMH	anti-Mullerian hormone 
APOB	apolipoprotein B 
APOE	apolipoprotein E 
ARG1	arginase 1 
BTK	Bruton agammaglobulinemia tyrosine kinase 
C1S	"complement component 1, s subcomponent "
CALR	calreticulin 
CD44	CD44 molecule (Indian blood group) 
CYP1A1	"cytochrome P450, family 1, subfamily A, polypeptide 1 "
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha 
TSC22D3	"TSC22 domain family, member 3 "
EDNRA	endothelin receptor type A 
ELF1	E74-like factor 1 (ets domain transcription factor) 
HSPA5	"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) "
TNC	tenascin C 
IFNB1	"interferon, beta 1, fibroblast "
IRAK1	interleukin-1 receptor-associated kinase 1 
ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) "
JUN	jun proto-oncogene 
KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 "
KLRC1	"killer cell lectin-like receptor subfamily C, member 1 "
LPL	lipoprotein lipase 
MICB	MHC class I polypeptide-related sequence B 
MPO	myeloperoxidase 
PCNA	proliferating cell nuclear antigen 
PECAM1	platelet/endothelial cell adhesion molecule 1 
PEE1	preeclampsia/eclampsia 1 
RORC	RAR-related orphan receptor C 
SDC1	syndecan 1 
SELE	selectin E 
SRSF1	serine/arginine-rich splicing factor 1 
SNRNP70	small nuclear ribonucleoprotein 70kDa (U1) 
STAT5A	signal transducer and activator of transcription 5A 
VWF	von Willebrand factor 
XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1 
TNFRSF10A	"tumor necrosis factor receptor superfamily, member 10a "
EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3 
SEMA3A	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A "
CD226	CD226 molecule 
LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1 "
KLRK1	"killer cell lectin-like receptor subfamily K, member 1 "
PLA2R1	"phospholipase A2 receptor 1, 180kDa "
HAVCR1	hepatitis A virus cellular receptor 1 
ICOS	inducible T-cell co-stimulator 
CD244	"CD244 molecule, natural killer cell receptor 2B4 "
UBASH3A	ubiquitin associated and SH3 domain containing A 
KRT20	"keratin 20, type I "
GIMAP5	"GTPase, IMAP family member 5 "
RETN	resistin 
AICDA	activation-induced cytidine deaminase 
ABHD6	abhydrolase domain containing 6 
MAVS	mitochondrial antiviral signaling protein 
PHRF1	PHD and ring finger domains 1 
PVRL4	poliovirus receptor-related 4 
IL23R	interleukin 23 receptor 
MIR126	microRNA 126 
MIR21	microRNA 21 
KIR2DL5B	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B "
MIR410	microRNA 410 
NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase) 
ADA	adenosine deaminase 
ALB	albumin 
ANXA1	annexin A1 
ANXA6	annexin A6 
BAX	BCL2-associated X protein 
BCHE	butyrylcholinesterase 
BCL2L1	BCL2-like 1 
PRDM1	"PR domain containing 1, with ZNF domain "
CAMP	cathelicidin antimicrobial peptide 
CASP3	"caspase 3, apoptosis-related cysteine peptidase "
CD86	CD86 molecule 
ERCC8	excision repair cross-complementation group 8 
CCR4	chemokine (C-C motif) receptor 4 
CCR7	chemokine (C-C motif) receptor 7 
CREM	cAMP responsive element modulator 
CST3	cystatin C 
CYP2E1	"cytochrome P450, family 2, subfamily E, polypeptide 1 "
E2F1	E2F transcription factor 1 
ERN1	endoplasmic reticulum to nucleus signaling 1 
FCN1	ficolin (collagen/fibrinogen domain containing) 1 
FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2 
FGF2	fibroblast growth factor 2 (basic) 
NR3C1	"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) "
GTF2I	general transcription factor IIi 
HABP2	hyaluronan binding protein 2 
HLA-DQA1	"major histocompatibility complex, class II, DQ alpha 1 "
HLA-DQB1	"major histocompatibility complex, class II, DQ beta 1 "
HLA-F	"major histocompatibility complex, class I, F "
HSPB1	heat shock 27kDa protein 1 
ICAM1	intercellular adhesion molecule 1 
IFNA17	"interferon, alpha 17 "
IFNAR1	"interferon (alpha, beta and omega) receptor 1 "
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta "
IL1R1	"interleukin 1 receptor, type I "
IL7R	interleukin 7 receptor 
IL12B	interleukin 12B 
IL7R	interleukin 7 receptor 
IL12B	interleukin 12B 
IL16	interleukin 16 
KIR2DS1	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1 "
KIR2DS3	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3 "
KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1 "
KLRB1	"killer cell lectin-like receptor subfamily B, member 1 "
LY6E	"lymphocyte antigen 6 complex, locus E "
LY9	lymphocyte antigen 9 
MX1	MX dynamin-like GTPase 1 
NOS3	nitric oxide synthase 3 (endothelial cell) 
PDGFRA	"platelet-derived growth factor receptor, alpha polypeptide "
PF4	platelet factor 4 
PPP2CA	"protein phosphatase 2, catalytic subunit, alpha isozyme "
PRKDC	"protein kinase, DNA-activated, catalytic polypeptide "
MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor) 
PSMB9	"proteasome (prosome, macropain) subunit, beta type, 9 "
REN	renin 
CCL3	chemokine (C-C motif) ligand 3 
CXCL11	chemokine (C-X-C motif) ligand 11 
SLC6A4	"solute carrier family 6 (neurotransmitter transporter), member 4 "
TAP2	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) "
TNXB	tenascin XB 
TRAF6	"TNF receptor-associated factor 6, E3 ubiquitin protein ligase "
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) 
CXCR4	chemokine (C-X-C motif) receptor 4 
APLN	apelin 
PTTG1	pituitary tumor-transforming 1 
IL32	interleukin 32 
GOSR1	golgi SNAP receptor complex member 1 
G3BP1	GTPase activating protein (SH3 domain) binding protein 1 
COLEC10	collectin sub-family member 10 (C-type lectin) 
DCTN6	dynactin 6 
LILRA3	"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3 "
IKZF2	IKAROS family zinc finger 2 (Helios) 
SIRT1	sirtuin 1 
IL36A	"interleukin 36, alpha "
CD274	CD274 molecule 
IGK	immunoglobulin kappa locus 
KIR2DL5A	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A "
WDFY4	WDFY family member 4 
IGAN1	IgA nephropathy 
NOD2	nucleotide-binding oligomerization domain containing 2 
SLEB3	systemic lupus erythematosus susceptibility 3 
KIAA0319L	KIAA0319-like 
ZC3H12A	zinc finger CCCH-type containing 12A 
IL33	interleukin 33 
TIRAP	toll-interleukin 1 receptor (TIR) domain containing adaptor protein 
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2 
TET3	tet methylcytosine dioxygenase 3 
VSTM1	V-set and transmembrane domain containing 1 
TMEM173	transmembrane protein 173 
MIR17	microRNA 17 
MIR326	microRNA 326 
TLR5	toll-like receptor 5 
ACR	acrosin 
AGER	advanced glycosylation end product-specific receptor 
AHR	aryl hydrocarbon receptor 
ALOX5AP	arachidonate 5-lipoxygenase-activating protein 
BCR	breakpoint cluster region 
C1QB	"complement component 1, q subcomponent, B chain "
C5AR1	complement component 5a receptor 1 
C7	complement component 7 
CASP6	"caspase 6, apoptosis-related cysteine peptidase "
CASP9	"caspase 9, apoptosis-related cysteine peptidase "
CD1C	CD1c molecule 
CD1D	CD1d molecule 
CD79B	"CD79b molecule, immunoglobulin-associated beta "
CDKN1A	"cyclin-dependent kinase inhibitor 1A (p21, Cip1) "
CDR1	"cerebellar degeneration-related protein 1, 34kDa "
CCR6	chemokine (C-C motif) receptor 6 
CRH	corticotropin releasing hormone 
CTGF	connective tissue growth factor 
CD55	"CD55 molecule, decay accelerating factor for complement (Cromer blood group) "
GADD45A	"growth arrest and DNA-damage-inducible, alpha "
EGR2	early growth response 2 
EPO	erythropoietin 
EVPL	envoplakin 
F8	"coagulation factor VIII, procoagulant component "
FABP4	"fatty acid binding protein 4, adipocyte "
FCGR1A	"Fc fragment of IgG, high affinity Ia, receptor (CD64) "
FCGR2A	"Fc fragment of IgG, low affinity IIa, receptor (CD32) "
FLT1	fms-related tyrosine kinase 1 
GSN	gelsolin 
GSTP1	glutathione S-transferase pi 1 
HDAC1	histone deacetylase 1 
HGF	hepatocyte growth factor (hepapoietin A; scatter factor) 
HLA-DMA	"major histocompatibility complex, class II, DM alpha "
HLA-DPB1	"major histocompatibility complex, class II, DP beta 1 "
HLA-DQA2	"major histocompatibility complex, class II, DQ alpha 2 "
HLA-DRB4	"major histocompatibility complex, class II, DR beta 4 "
HMOX1	heme oxygenase 1 
IFIT1	interferon-induced protein with tetratricopeptide repeats 1 
IL6R	interleukin 6 receptor 
IL10RB	"interleukin 10 receptor, beta "
IL15	interleukin 15 
INPP5D	"inositol polyphosphate-5-phosphatase, 145kDa "
IRF2	interferon regulatory factor 2 
ISG20	interferon stimulated exonuclease gene 20kDa 
ITGAX	"integrin, alpha X (complement component 3 receptor 4 subunit) "
ITPR3	"inositol 1,4,5-trisphosphate receptor, type 3 "
KIR2DL2	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2 "
ITPR3	"inositol 1,4,5-trisphosphate receptor, type 3 "
KIR2DL2	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2 "
KLRD1	"killer cell lectin-like receptor subfamily D, member 1 "
KRAS	Kirsten rat sarcoma viral oncogene homolog 
LIG4	"ligase IV, DNA, ATP-dependent "
CD180	CD180 molecule 
MDM2	"MDM2 proto-oncogene, E3 ubiquitin protein ligase "
MRC1	"mannose receptor, C type 1 "
MSH5	mutS homolog 5 
MTHFR	methylenetetrahydrofolate reductase (NAD(P)H) 
MYC	v-myc avian myelocytomatosis viral oncogene homolog 
NCAM1	neural cell adhesion molecule 1 
NFE2	"nuclear factor, erythroid 2 "
NOTCH4	notch 4 
PNP	purine nucleoside phosphorylase 
NPR2	natriuretic peptide receptor 2 
P2RX7	"purinergic receptor P2X, ligand gated ion channel, 7 "
PAEP	progestagen-associated endometrial protein 
SERPINE1	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 "
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3 
PLXNA2	plexin A2 
POU5F1	POU class 5 homeobox 1 
PRTN3	proteinase 3 
RFX1	"regulatory factor X, 1 (influences HLA class II expression) "
RNU2-1	"RNA, U2 small nuclear 1 "
RNU4-7P	"RNA, U4 small nuclear 7, pseudogene "
RPLP2	"ribosomal protein, large, P2 "
S100A8	S100 calcium binding protein A8 
S100A12	S100 calcium binding protein A12 
SAA1	serum amyloid A1 
CCL4	chemokine (C-C motif) ligand 4 
SELL	selectin L 
SLC22A4	"solute carrier family 22 (organic cation/zwitterion transporter), member 4 "
SOD1	"superoxide dismutase 1, soluble "
STAT6	"signal transducer and activator of transcription 6, interleukin-4 induced "
TAP1	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) "
TYROBP	TYRO protein tyrosine kinase binding protein 
SCGB1A1	"secretoglobin, family 1A, member 1 (uteroglobin) "
XBP1	X-box binding protein 1 
LAPTM5	lysosomal protein transmembrane 5 
CDR3	Cerebellar degeneration-related autoantigen-3 
DEGS1	"delta(4)-desaturase, sphingolipid 1 "
TNFSF11	"tumor necrosis factor (ligand) superfamily, member 11 "
TNFRSF25	"tumor necrosis factor receptor superfamily, member 25 "
TNFRSF6B	"tumor necrosis factor receptor superfamily, member 6b, decoy "
CD83	CD83 molecule 
GTF2IRD1	GTF2I repeat domain containing 1 
TNFSF15	"tumor necrosis factor (ligand) superfamily, member 15 "
NR1H3	"nuclear receptor subfamily 1, group H, member 3 "
WFDC2	WAP four-disulfide core domain 2 
HCP5	HLA complex P5 (non-protein coding) 
CARD8	"caspase recruitment domain family, member 8 "
ZNF423	zinc finger protein 423 
PADI4	"peptidyl arginine deiminase, type IV "
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 
RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated) 
GCA	"grancalcin, EF-hand calcium binding protein "
CYCS	"cytochrome c, somatic "
UHRF1BP1	UHRF1 binding protein 1 
DRAM1	DNA-damage regulated autophagy modulator 1 
WDR11	WD repeat domain 11 
BTNL2	butyrophilin-like 2 
PELI1	pellino E3 ubiquitin protein ligase 1 
SLAMF7	SLAM family member 7 
HIVEP3	human immunodeficiency virus type I enhancer binding protein 3 
BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2 "
KDM7A	lysine (K)-specific demethylase 7A 
CFHR5	complement factor H-related 5 
DOCK8	dedicator of cytokinesis 8 
UBASH3B	ubiquitin associated and SH3 domain containing B 
SLAMF6	SLAM family member 6 
CLEC4C	"C-type lectin domain family 4, member C "
JAZF1	JAZF zinc finger 1 
MIR125A	microRNA 125a 
MIR22	microRNA 22 
H3F3AP6	"H3 histone, family 3A, pseudogene 6 "
MIR449B	microRNA 449b 
LOC100508689	mucin 
ERVK-13	"endogenous retrovirus group K, member 13 "
LINC00914	long intergenic non-protein coding RNA 914 
FOXJ1	forkhead box J1 
XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 
MAN2A1	"mannosidase, alpha, class 2A, member 1 "
RNY1	"RNA, Ro-associated Y1 "
RPL7	ribosomal protein L7 
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 
SNRPB2	small nuclear ribonucleoprotein polypeptide B 
RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated) 
TNFRSF13C	"tumor necrosis factor receptor superfamily, member 13C "
SLEH1	systemic lupus erythematosus with hemolytic anemia 1 
SLEN1	systemic lupus erythematosus with nephritis 1 
SLEN2	systemic lupus erythematosus with nephritis 2 
SLEN3	systemic lupus erythematosus with nephritis 3 
SLEB4	"systemic lupus erythematosus, susceptibility to, 4 "
RPL7AP9	ribosomal protein L7a pseudogene 9 
SLEB5	"Systemic lupus erythematosus, susceptibility to, 5 "
SLEB7	"Systemic lupus erythematosus, susceptibility to, 7 "
SLEB8	"Systemic lupus erythematosus, susceptibility to, 8 "
SLEB12	"Systemic lupus erythematosus, susceptibility to, 12 "
SLEB13	"Systemic lupus erythematosus, susceptibility to, 13 "
SLEB14	"Systemic lupus erythematosus, susceptiblity to, 14 "
MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate) 
SLEB14	"Systemic lupus erythematosus, susceptiblity to, 14 "
MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate) 
NEGR1-IT1	NEGR1 intronic transcript 1 
ABCA1	"ATP-binding cassette, sub-family A (ABC1), member 1 "
ACP1	"acid phosphatase 1, soluble "
ADAM10	ADAM metallopeptidase domain 10 
ADAR	"adenosine deaminase, RNA-specific "
ADARB1	"adenosine deaminase, RNA-specific, B1 "
ADD2	adducin 2 (beta) 
BIN1	bridging integrator 1 
AMY1A	"amylase, alpha 1A (salivary) "
AQP4	aquaporin 4 
AR	androgen receptor 
AVP	arginine vasopressin 
AXL	AXL receptor tyrosine kinase 
TNFRSF17	"tumor necrosis factor receptor superfamily, member 17 "
BGLAP	bone gamma-carboxyglutamate (gla) protein 
SERPING1	"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 "
C4BPA	"complement component 4 binding protein, alpha "
C4BPB	"complement component 4 binding protein, beta "
C5	complement component 5 
CA2	carbonic anhydrase II 
CALCA	calcitonin-related polypeptide alpha 
CAMK4	calcium/calmodulin-dependent protein kinase IV 
CASP1	"caspase 1, apoptosis-related cysteine peptidase "
CASP7	"caspase 7, apoptosis-related cysteine peptidase "
CASP8	"caspase 8, apoptosis-related cysteine peptidase "
RUNX1	runt-related transcription factor 1 
CD5	CD5 molecule 
CD8B	CD8b molecule 
CD33	CD33 molecule 
CD34	CD34 molecule 
CD59	"CD59 molecule, complement regulatory protein "
CDK2	cyclin-dependent kinase 2 
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha "
CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8 
CHI3L2	chitinase 3-like 2 
AP2M1	"adaptor-related protein complex 2, mu 1 subunit "
CCR8	chemokine (C-C motif) receptor 8 
CNR1	cannabinoid receptor 1 (brain) 
COMT	catechol-O-methyltransferase 
MAPK14	mitogen-activated protein kinase 14 
CTNNB1	"catenin (cadherin-associated protein), beta 1, 88kDa "
CX3CR1	chemokine (C-X3-C motif) receptor 1 
CYBA	"cytochrome b-245, alpha polypeptide "
CYP2C19	"cytochrome P450, family 2, subfamily C, polypeptide 19 "
CYP17A1	"cytochrome P450, family 17, subfamily A, polypeptide 1 "
CYP21A1P	"cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene "
ACE	angiotensin I converting enzyme 
DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9 
DEFA4	"defensin, alpha 4, corticostatin "
DEFB1	"defensin, beta 1 "
S1PR1	sphingosine-1-phosphate receptor 1 
EIF2S1	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa "
EP300	E1A binding protein p300 
ERBB2	erb-b2 receptor tyrosine kinase 2 
ERV3-1	"endogenous retrovirus group 3, member 1 "
F2	coagulation factor II (thrombin) 
F11	coagulation factor XI 
FCAR	Fc fragment of IgA receptor 
FOXO1	forkhead box O1 
FMO1	flavin containing monooxygenase 1 
FMO3	flavin containing monooxygenase 3 
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1 
FOS	FBJ murine osteosarcoma viral oncogene homolog 
GAPDH	glyceraldehyde-3-phosphate dehydrogenase 
GATA3	GATA binding protein 3 
GNRH1	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone) 
HCLS1	hematopoietic cell-specific Lyn substrate 1 
HDAC2	histone deacetylase 2 
CFH	complement factor H 
HIF1A	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) "
HLA-C	"major histocompatibility complex, class I, C "
HLA-E	"major histocompatibility complex, class I, E "
TLX2	T-cell leukemia homeobox 2 
HPRT1	hypoxanthine phosphoribosyltransferase 1 
HSPA1B	heat shock 70kDa protein 1B 
HSPD1	heat shock 60kDa protein 1 (chaperonin) 
IFI16	"interferon, gamma-inducible protein 16 "
IFIT3	interferon-induced protein with tetratricopeptide repeats 3 
