Gene,adj.P.Val,P.Value,t,B,logFC
NCR3,0.959,0.008973,2.8632732,-3.05,0.24155793
SLC16A7,0.959,0.008989,-2.8625006,-3.05,-0.39052625
MYL5,0.959,0.009029,2.8605346,-3.06,0.18103871
ZHX3,0.959,0.009069,2.8585998,-3.06,0.18227849
EMD,0.959,0.00909,2.8575975,-3.06,0.17590451
ZNF84,0.959,0.009138,-2.8553305,-3.06,-0.17872133
FABP1,0.959,0.009199,2.8523983,-3.06,0.20859554
C1QA,0.959,0.009236,2.8506519,-3.07,0.29849191
CEP350,0.959,0.009363,-2.8447033,-3.07,-0.42661748
ATRX,0.959,0.009405,-2.842738,-3.07,-0.59942026
TCF7L2,0.959,0.009408,-2.8425874,-3.07,-0.55050869
CDK12,0.959,0.00943,-2.8415835,-3.08,-0.27758007
,0.959,0.009549,-2.8360806,-3.08,-0.43216372
ANKRD36B,0.959,0.009561,-2.8355529,-3.08,-0.53802161
TGFB2,0.959,0.009566,2.8353009,-3.08,0.20216045
LSM4,0.959,0.009607,2.8334615,-3.08,0.22234902
MIR15A///DLEU2L///DLEU2,0.959,0.009752,-2.8268768,-3.09,-0.49953105
,0.959,0.009816,-2.8240095,-3.1,-0.26272755
SNRNP25,0.959,0.009894,2.820559,-3.1,0.19764423
2-Sep,0.959,0.01,-2.8158897,-3.1,-0.39586349
C16orf95,0.959,0.010049,2.813764,-3.11,0.16211739
ZNF345,0.959,0.010131,-2.8102018,-3.11,-0.24352617
GSTM3,0.959,0.010138,2.8098768,-3.11,0.48509974
NENF,0.959,0.010266,2.8043681,-3.12,0.15698376
ERAP1,0.959,0.010291,-2.8033083,-3.12,-0.61614685
CACNB2,0.959,0.010337,2.8013455,-3.12,0.18010063
POU2F1,0.959,0.01043,-2.797422,-3.12,-0.20774822
,0.959,0.010436,-2.7971767,-3.12,-0.13542557
TTC3P1///TTC3,0.959,0.010468,-2.7958182,-3.13,-0.55928812
CXCL8,0.959,0.010501,2.7944318,-3.13,0.53524728
IGLV1-44,0.959,0.010529,2.7932482,-3.13,0.2852356
FAM205BP,0.959,0.010893,2.7783078,-3.15,0.16067426
VPS13D,0.959,0.010921,-2.7771762,-3.15,-0.20050354
MRPS14,0.959,0.011049,-2.7720545,-3.15,-0.33741736
NRN1,0.959,0.011106,2.7697863,-3.15,0.25928478
PDE1B,0.959,0.011106,2.7697853,-3.15,0.25768409
RANBP2,0.959,0.011158,-2.7677189,-3.16,-0.42164273
MFHAS1,0.959,0.011162,-2.7675923,-3.16,-0.34682565
FHL3,0.959,0.011202,2.7659883,-3.16,0.24803834
RABGAP1L,0.959,0.011248,-2.7642048,-3.16,-0.65891995
ING3,0.959,0.011252,-2.7640383,-3.16,-0.32572064
SRRM1,0.959,0.011253,-2.7639831,-3.16,-0.31456342
CD3G,0.959,0.01129,-2.7625612,-3.16,-0.425107
FAU,0.959,0.011316,2.7615309,-3.16,0.38467216
SON,0.959,0.011326,-2.7611475,-3.16,-0.40178018
GRIK3,0.959,0.011395,2.7584578,-3.17,0.2022306
GNB1,0.959,0.011487,-2.7549096,-3.17,-0.315094
CLEC5A,0.959,0.011548,-2.752577,-3.17,-0.44230251
PDGFB,0.959,0.011641,2.7490356,-3.18,0.18399587
LINC00342,0.959,0.011684,-2.7474229,-3.18,-0.38679333
ATM,0.959,0.011836,-2.7416866,-3.19,-0.28463783
ADSS,0.959,0.011896,-2.7394442,-3.19,-0.30777316
FUT9,0.959,0.011919,2.7386007,-3.19,0.16247604
THRA,0.959,0.011936,2.7379714,-3.19,0.21354966
DHX9,0.959,0.012001,-2.735558,-3.19,-0.35171242
RUNX1-IT1,0.959,0.012086,-2.732448,-3.2,-0.31213856
FAM222B,0.959,0.012094,-2.7321519,-3.2,-0.21726937
ELAVL2,0.959,0.012118,2.7312843,-3.2,0.21271222
FARS2,0.959,0.012195,2.7284856,-3.2,0.18108773
MAN2A1,0.959,0.012243,-2.7267155,-3.2,-0.2825788
RASA2,0.959,0.012304,-2.7245295,-3.2,-0.32555284
NUBP2,0.959,0.012342,2.7231562,-3.21,0.17969117
PIK3R1,0.959,0.012408,-2.7208132,-3.21,-0.55523167
RNPEP,0.959,0.012408,-2.720784,-3.21,-0.2478116
SARDH,0.959,0.012423,2.7202753,-3.21,0.20147312
SLCO2B1,0.959,0.012564,2.7152597,-3.21,0.20767298
DIAPH2,0.959,0.0126,-2.7139808,-3.22,-0.3601635
SENP3,0.959,0.012626,2.7130896,-3.22,0.15224581
ELL,0.959,0.01267,2.7115424,-3.22,0.26823544
CREB3L2,0.959,0.012676,-2.7113195,-3.22,-0.36597562
ACTC1,0.959,0.012799,2.7070318,-3.22,0.18104296
AASDHPPT,0.959,0.012874,-2.7044467,-3.23,-0.34495335
GLYR1,0.959,0.012877,-2.7043458,-3.23,-0.22436419
ZNF814,0.959,0.013036,-2.6988959,-3.23,-0.29021397
ATXN7,0.959,0.013159,-2.6946969,-3.24,-0.25302048
KCNA3,0.959,0.013185,-2.69384,-3.24,-0.44230795
TAS2R8,0.959,0.013226,2.6924358,-3.24,0.20991204
NUMA1,0.959,0.013268,-2.6910436,-3.24,-0.29621611
PLAGL1,0.959,0.013363,-2.6878566,-3.24,-0.33504515
NTNG1,0.959,0.013398,2.6867138,-3.25,0.19168715
HMGCS1,0.959,0.013452,-2.6849129,-3.25,-0.14908204
CREB1,0.959,0.013466,-2.6844617,-3.25,-0.30575342
LOC101927137///ATP1A3,0.959,0.013487,2.6837668,-3.25,0.22350135
FBXW2,0.959,0.013492,-2.6835776,-3.25,-0.28419275
HELLS,0.959,0.013585,-2.6805328,-3.25,-0.30980248
AMFR,0.959,0.013607,2.6797976,-3.25,0.22657461
LST1,0.959,0.013648,2.6784611,-3.25,0.31404638
MMRN1,0.959,0.013652,-2.6783453,-3.25,-0.26249037
TMPRSS15,0.959,0.013667,2.6778563,-3.25,0.15967748
GTSE1,0.959,0.013674,2.6776212,-3.25,0.26279454
WDR73,0.959,0.013795,-2.6736962,-3.26,-0.1678782
UBXN7,0.959,0.013826,-2.6726811,-3.26,-0.27990842
IL6ST,0.959,0.013847,-2.6720271,-3.26,-0.38416405
APOOL,0.959,0.014011,-2.6667496,-3.27,-0.3768199
,0.959,0.014066,2.6649999,-3.27,0.22410102
SUV39H1,0.959,0.014085,-2.6644079,-3.27,-0.22080097
LOC100130872///SPON2,0.959,0.014224,2.6600383,-3.27,0.35488758
AURKAIP1,0.959,0.014266,2.6586945,-3.28,0.17831907
RCE1,0.959,0.014288,2.6580256,-3.28,0.20091424
CLCN3,0.959,0.014346,-2.6562257,-3.28,-0.45428438
FGFR1,0.959,0.014349,2.6561081,-3.28,0.18731198
COX20,0.959,0.014371,-2.6554237,-3.28,-0.37208586
NCR3,0.959,0.01439,2.6548312,-3.28,0.2149776
,0.959,0.014397,-2.6546147,-3.28,-0.29150066
CHM,0.959,0.014425,-2.6537674,-3.28,-0.22015891
ARF6,0.959,0.014427,2.6537022,-3.28,0.26390271
TYMP,0.959,0.014504,2.6513163,-3.28,0.35447979
EBP,0.959,0.014518,2.6508738,-3.28,0.21180954
TP53TG1,0.959,0.014564,2.649465,-3.29,0.2496222
RUNX1T1,0.959,0.014696,2.6454466,-3.29,0.16590228
MNAT1,0.959,0.014747,2.6438877,-3.29,0.1591012
DPH2,0.959,0.014759,2.6435304,-3.29,0.18640246
LOC102724250///NBPF26///NBPF19///NBPF10///NBPF15///NBPF11///NBPF1///NBPF14,0.959,0.014892,-2.6395028,-3.3,-0.32434669
OSBP,0.959,0.014942,-2.6380088,-3.3,-0.19511409
HLA-DQB1,0.959,0.014989,-2.6365814,-3.3,-2.29179773
SERF2-C15ORF63///MIR1282///HYPK///SERF2,0.959,0.015027,2.635457,-3.3,0.19293823
PDE6D,0.959,0.015091,2.6335608,-3.3,0.15048327
DDX24,0.959,0.015109,-2.6330256,-3.3,-0.30137091
MKRN3,0.959,0.015138,2.6321675,-3.3,0.14041443
PLXDC1,0.959,0.015149,-2.6318275,-3.3,-0.2644568
SMARCC2,0.959,0.015309,-2.6271352,-3.31,-0.2113637
TRAF3IP3,0.959,0.015358,-2.6256853,-3.31,-0.36647792
DOCK10,0.959,0.015474,-2.622315,-3.31,-0.215698
BUB1,0.959,0.015567,2.6196208,-3.32,0.25496404
PQBP1,0.959,0.015578,2.6192939,-3.32,0.16806369
COPA,0.959,0.015594,-2.6188284,-3.32,-0.29084282
TGOLN2,0.959,0.015679,-2.6163886,-3.32,-0.23221045
DOCK6,0.959,0.015697,2.6158986,-3.32,0.186274
SLC16A6,0.959,0.015745,-2.6145162,-3.32,-0.35944142
,0.959,0.015755,-2.6142339,-3.32,-0.24877067
PRKD3,0.959,0.015756,-2.6142009,-3.32,-0.29729266
PCM1,0.959,0.015788,-2.6132918,-3.32,-0.23420248
ANKRD36,0.959,0.015937,-2.6090559,-3.33,-0.3582191
COX7A2,0.959,0.015938,2.6090245,-3.33,0.45061455
MTDH,0.959,0.015978,-2.6079084,-3.33,-0.28181658
ANTXR1,0.959,0.016046,2.6060105,-3.33,0.22165504
NPR3,0.959,0.016065,2.6054699,-3.33,0.22229562
RBM5,0.959,0.016133,-2.603573,-3.33,-0.34054031
ROBO3,0.959,0.016191,2.601962,-3.34,0.17682061
ERAP1,0.959,0.016204,-2.6015989,-3.34,-0.49602404
NDUFB7,0.959,0.016271,2.5997351,-3.34,0.29490414
SHISA6,0.959,0.016299,2.598946,-3.34,0.17856152
POGLUT1,0.959,0.016405,-2.5960492,-3.34,-0.25467973
ABCD4,0.959,0.016419,-2.5956586,-3.34,-0.19312372
CD44,0.959,0.016494,-2.5935968,-3.35,-0.25932751
BAG5,0.959,0.016542,-2.5922809,-3.35,-0.54699159
KCNB2,0.959,0.016661,2.5890484,-3.35,0.18155746
SPIN1,0.959,0.016719,-2.5874901,-3.35,-0.60147071
COL18A1,0.959,0.016784,-2.5857313,-3.35,-0.30909576
MIR3652///HSP90B1,0.959,0.016805,-2.5851698,-3.35,-0.35835176
MMP11,0.959,0.016808,2.5851029,-3.35,0.29029651
SFSWAP,0.959,0.016834,-2.5843896,-3.36,-0.20470152
C4BPA,0.959,0.016915,2.582245,-3.36,0.64800816
SPTLC2,0.959,0.016937,-2.5816362,-3.36,-0.17735915
AMBRA1,0.959,0.016951,-2.5812659,-3.36,-0.19468236
HNRNPUL1,0.959,0.016988,-2.5802863,-3.36,-0.16174259
EIF4B,0.959,0.017008,-2.5797532,-3.36,-0.44584146
HSPA5,0.959,0.017101,-2.5773011,-3.36,-0.29262295
SPEN,0.959,0.017129,-2.5765458,-3.36,-0.51500402
CCL21,0.959,0.017167,2.5755557,-3.36,0.21246514
ZNF91,0.959,0.017182,-2.5751568,-3.37,-0.36843147
ARHGEF7,0.959,0.017256,-2.5732202,-3.37,-0.1558177
CEP135,0.959,0.017281,-2.5725584,-3.37,-0.1765729
GLG1,0.959,0.017304,-2.5719678,-3.37,-0.31693888
UBE2M,0.959,0.017525,2.5662346,-3.37,0.30186048
PHKB,0.959,0.017553,-2.5655095,-3.38,-0.23044128
MEF2A,0.959,0.01762,-2.5637707,-3.38,-0.22726345
POLD4,0.959,0.017627,2.5635886,-3.38,0.154809
PLA2G4C,0.959,0.01763,2.563508,-3.38,0.32713485
PCM1,0.959,0.017839,-2.5581894,-3.38,-0.17304492
ZMYM2,0.959,0.01789,-2.5568861,-3.38,-0.43677998
GSTZ1,0.959,0.0179,2.5566395,-3.39,0.14990244
HNRNPR,0.959,0.017904,-2.556548,-3.39,-0.26751347
CYP1B1,0.959,0.01795,-2.5553839,-3.39,-0.56123204
MYCT1,0.959,0.01801,2.553855,-3.39,0.15286851
MACF1,0.959,0.018038,-2.5531488,-3.39,-0.31062417
SMARCA1,0.959,0.018044,2.5530086,-3.39,0.13494711
CD52,0.959,0.018099,2.551619,-3.39,0.64548244
TOX4,0.959,0.018246,2.5479508,-3.39,0.20137472
BCLAF1,0.959,0.01831,-2.5463656,-3.4,-0.27007265
VCAN,0.959,0.018386,-2.5445045,-3.4,-0.50594425
TM9SF4,0.959,0.018391,-2.5443613,-3.4,-0.30931849
ACAA1,0.959,0.018437,2.543233,-3.4,0.20758729
PCYOX1,0.959,0.018502,-2.5416397,-3.4,-0.34476495
THUMPD1,0.959,0.018527,-2.5410304,-3.4,-0.35668616
OAS1,0.959,0.018547,2.5405294,-3.4,0.47982345
AHCYL2,0.959,0.018607,-2.5390806,-3.4,-0.22377601
GFPT1,0.959,0.018674,-2.5374389,-3.41,-0.30976319
CFAP46,0.959,0.018691,2.5370142,-3.41,0.17830229
6-Mar,0.959,0.018771,-2.5350816,-3.41,-0.42238822
EIF5B,0.959,0.018811,-2.5341042,-3.41,-0.26319864
GUSBP11,0.959,0.018842,2.5333587,-3.41,0.13240604
EPB41L3,0.959,0.018876,-2.5325405,-3.41,-0.43001385
LTC4S,0.959,0.018931,2.5312172,-3.41,0.211095
BICD2,0.959,0.019011,-2.5293121,-3.41,-0.28711405
TMEM131,0.959,0.019081,-2.5276388,-3.42,-0.31654682
,0.959,0.019115,2.5268296,-3.42,0.15197802
LOC101930458///HERC2P3,0.959,0.019134,-2.5263699,-3.42,-0.15450952
CYP2C9,0.959,0.019148,2.5260313,-3.42,0.18644195
VPS35,0.959,0.019245,-2.5237355,-3.42,-0.16361017
PRRC1,0.959,0.019249,-2.5236402,-3.42,-0.23110728
C1orf56,0.959,0.019387,-2.520403,-3.42,-0.26147881
GOLGB1,0.959,0.019394,-2.5202386,-3.42,-0.20999341
DDX42,0.959,0.019567,-2.5161935,-3.43,-0.22591677
TTC38,0.959,0.019629,2.5147314,-3.43,0.2594274
DEFA6,0.959,0.019631,2.5146968,-3.43,0.21466656
FLJ10038,0.959,0.019654,-2.5141664,-3.43,-0.50313058
DYNC1LI2,0.959,0.019852,2.5095998,-3.44,0.19104075
TPP1,0.959,0.019939,-2.5075976,-3.44,-0.27904725
DAPK2,0.959,0.019956,2.5071977,-3.44,0.32913251
ADNP,0.959,0.020108,-2.5037384,-3.44,-0.34826655
FAR2,0.959,0.020195,-2.5017728,-3.44,-0.34903064
ANKHD1-EIF4EBP3///ANKHD1,0.959,0.020382,-2.4975724,-3.45,-0.16475248
MAP1A,0.959,0.020383,2.4975476,-3.45,0.18879251
RGL2,0.959,0.020391,2.4973635,-3.45,0.18124132
C19orf60,0.959,0.020491,2.4951228,-3.45,0.19612794
CBFA2T2,0.959,0.020557,-2.4936447,-3.45,-0.16141486
ARPC4,0.959,0.020564,2.4934897,-3.45,0.25102797
GATA3,0.959,0.020577,-2.4932213,-3.45,-0.38700161
RAD51B,0.959,0.020587,2.4929922,-3.45,0.13775406
THNSL2,0.959,0.020638,2.4918682,-3.45,0.2028935
DYRK1B,0.959,0.020638,2.4918652,-3.45,0.26474919
KIAA1109,0.959,0.020714,-2.4901679,-3.46,-0.14244919
,0.959,0.020747,-2.4894586,-3.46,-0.3952095
ATP2B1,0.959,0.020993,-2.4840473,-3.46,-0.33823261
VCAN,0.959,0.021019,-2.4834946,-3.46,-0.53137255
TNP1,0.959,0.021078,2.482205,-3.46,0.20794759
DNMT3A,0.959,0.02113,2.4810779,-3.47,0.18436651
MCM3AP,0.959,0.021158,2.4804777,-3.47,0.16716404
MYCBP2,0.959,0.021282,-2.4777827,-3.47,-0.3256238
SMAD5,0.959,0.02137,-2.4758896,-3.47,-0.20857372
SIRT5,0.959,0.021467,-2.4738186,-3.47,-0.19275026
FKBP15,0.959,0.021493,-2.4732586,-3.47,-0.32565374
SBNO1,0.959,0.021529,-2.4725047,-3.47,-0.1494453
SAMHD1,0.959,0.021547,-2.472117,-3.47,-0.38725624
AMPD1,0.959,0.021613,2.4707144,-3.48,0.16922727
DCAF16,0.959,0.021621,-2.4705389,-3.48,-0.35901556
BRCC3,0.959,0.021659,-2.4697331,-3.48,-0.24671769
SERINC3,0.959,0.0217,-2.4688638,-3.48,-0.34507437
SLC25A20,0.959,0.021714,2.468578,-3.48,0.25771303
KRTAP5-9,0.959,0.021716,2.4685371,-3.48,0.20296049
FXR2,0.959,0.021727,2.4682967,-3.48,0.14761162
FAM50A,0.959,0.021744,2.4679398,-3.48,0.18720231
APC,0.959,0.021757,-2.4676729,-3.48,-0.17801027
RPRD2,0.959,0.021858,-2.4655311,-3.48,-0.24886894
FYB,0.959,0.021863,-2.4654408,-3.48,-0.19761114
GNA11,0.959,0.02187,2.4652917,-3.48,0.18932161
NPAT,0.959,0.021898,-2.4646891,-3.48,-0.37385702
TPTE,0.959,0.021999,2.4625785,-3.48,0.12828939
LARP4B,0.959,0.022075,-2.4610081,-3.49,-0.23876195
LOC101060386///BOLA2///SMG1,0.959,0.022132,-2.4598064,-3.49,-0.55446727
NAA10,0.959,0.022141,2.4596381,-3.49,0.17264471
,0.959,0.022184,2.4587296,-3.49,0.15394793
AGRN,0.959,0.022262,2.4571164,-3.49,0.19090824
BOLA2B///BOLA2,0.959,0.022285,2.456639,-3.49,0.25351691
SMIM8,0.959,0.022336,-2.4555905,-3.49,-0.28780484
STRN,0.959,0.022349,-2.4553283,-3.49,-0.32088623
GJD2,0.959,0.022366,2.4549815,-3.49,0.19876108
ERCC8,0.959,0.022384,-2.4546066,-3.49,-0.18492131
IL6ST,0.959,0.022438,-2.4535114,-3.49,-0.30363445
DICER1,0.959,0.022523,2.4517535,-3.5,0.17385986
IGF1,0.959,0.022799,2.4461574,-3.5,0.15173428
KAT6B,0.959,0.022803,-2.4460681,-3.5,-0.31398883
KAT6B,0.959,0.02286,-2.4449348,-3.5,-0.27263446
HIC2,0.959,0.022884,-2.4444319,-3.5,-0.37519097
ALDH1B1,0.959,0.022896,2.4441903,-3.5,0.22019906
AMFR,0.959,0.022951,2.443096,-3.51,0.88379874
