Gene symbol	Aliases	Description	Disease count
ADRB2	ADRB2R, ADRBR, B2AR, BAR, BETA2AR	adrenoceptor beta 2, surface	2	
ADRBK1	BARK1, BETA-ARK1, GRK2	adrenergic, beta, receptor kinase 1	2	
ADSS	ADEH, ADSS 2	adenylosuccinate synthase	1	
AP2A2	ADTAB, CLAPA2, HIP-9, HIP9, HYPJ	adaptor-related protein complex 2, alpha 2 subunit	1	
AFP	AFPD, FETA, HPAFP	alpha-fetoprotein	5	
ACAN	AGC1, AGCAN, CSPG1, CSPGCP, MSK16, SEDK	aggrecan	2	
AGER	RAGE	advanced glycosylation end product-specific receptor	12	
JAG1	AGS, AHD, AWS, CD339, HJ1, JAGL1	jagged 1	2	
AGT	ANHU, SERPINA8	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	6	
AGTR1	AG2S, AGTR1B, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R	angiotensin II receptor, type 1	5	
AGTR2	AT2, ATGR2, MRX88	angiotensin II receptor, type 2	1	
AHR	bHLHe76	aryl hydrocarbon receptor	9	
AHSG	A2HS, AHS, FETUA, HSGA	alpha-2-HS-glycoprotein	5	
AIF1	AIF-1, IBA1, IRT-1, IRT1	allograft inflammatory factor 1	6	
AKT1	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	v-akt murine thymoma viral oncogene homolog 1	14	
AKT2	HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA	v-akt murine thymoma viral oncogene homolog 2	1	
ALAD	ALADH, PBGS	aminolevulinate dehydratase	1	
ALB	ANALBA, FDAH, PRO0883, PRO0903, PRO1341	albumin	18	
ALCAM	CD166, MEMD	activated leukocyte cell adhesion molecule	3	
ALDH1A1	ALDC, ALDH-E1, ALDH1, ALDH11, HEL-9, HEL-S-53e, HEL12, PUMB1, RALDH1	aldehyde dehydrogenase 1 family, member A1	2	
ALDH2	ALDH-E2, ALDHI, ALDM	aldehyde dehydrogenase 2 family (mitochondrial)	1	
ALK	CD246, NBLST3	anaplastic lymphoma receptor tyrosine kinase	1	
ALOX12	12-LOX, 12S-LOX, LOG12	arachidonate 12-lipoxygenase	1	
ALOX5	5-LO, 5-LOX, 5LPG, LOG5	arachidonate 5-lipoxygenase	2	
ALOX5AP	FLAP	arachidonate 5-lipoxygenase-activating protein	2	
ALOX12B	12R-LOX, ARCI2	arachidonate 12-lipoxygenase, 12R type	1	
ALOX15	12-LOX, 15-LOX-1, 15LOX-1	arachidonate 15-lipoxygenase	2	
ALPI	IAP	alkaline phosphatase, intestinal	1	
ALPL	AP-TNAP, APTNAP, HOPS, TNAP, TNSALP	alkaline phosphatase, liver/bone/kidney	2	
ALPP	ALP, PALP, PLAP, PLAP-1	alkaline phosphatase, placental	4	
AMBP	A1M, EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	alpha-1-microglobulin/bikunin precursor	1	
AMELX	AI1E, AIH1, ALGN, AMG, AMGL, AMGX	amelogenin, X-linked	2	
AMH	MIF, MIS	anti-Mullerian hormone	5	
AMPH	AMPH1	amphiphysin	1	
BIN1	AMPH2, AMPHL, SH3P9	bridging integrator 1	1	
AMY1A	AMY1	amylase, alpha 1A (salivary)	1	
ANGPT1	AGP1, AGPT, ANG1	angiopoietin 1	3	
ANGPT2	AGPT2, ANG2	angiopoietin 2	4	
ANPEP	APN, CD13, GP150, LAP1, P150, PEPN	alanyl (membrane) aminopeptidase	3	
ANXA1	ANX1, LPC1	annexin A1	5	
ANXA2	ANX2, ANX2L4, CAL1H, HEL-S-270, LIP2, LPC2, LPC2D, P36, PAP-IV	annexin A2	7	
ANXA3	ANX3	annexin A3	1	
ANXA5	ANX5, ENX2, HEL-S-7, PP4, RPRGL3	annexin A5	4	
ANXA6	ANX6, CBP68	annexin A6	2	
ANXA11	ANX11, CAP50	annexin A11	4	
AOAH		acyloxyacyl hydrolase (neutrophil)	1	
APAF1	APAF-1, CED4	apoptotic peptidase activating factor 1	1	
AIRE	AIRE1, APECED, APS1, APSI, PGA1	autoimmune regulator	10	
APEH	AARE, ACPH, APH, D3F15S2, D3S48E, DNF15S2, OPH	acylaminoacyl-peptide hydrolase	2	
APEX1	APE, APE1, APEN, APEX, APX, HAP1, REF1	APEX nuclease (multifunctional DNA repair enzyme) 1	1	
BIRC2	API1, HIAP2, Hiap-2, MIHB, RNF48, c-IAP1, cIAP1	baculoviral IAP repeat containing 2	1	
BIRC3	AIP1, API2, CIAP2, HAIP1, HIAP1, MALT2, MIHC, RNF49, c-IAP2	baculoviral IAP repeat containing 3	1	
XIAP	API3, BIRC4, IAP-3, ILP1, MIHA, XLP2, hIAP-3, hIAP3	X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase	7	
BIRC5	API4, EPR-1	baculoviral IAP repeat containing 5	6	
APOA1		apolipoprotein A-I	8	
APOA4		apolipoprotein A-IV	1	
APOB	FLDB, LDLCQ4	apolipoprotein B	8	
APOC1	Apo-CI, ApoC-I	apolipoprotein C-I	1	
APOC3	APOCIII, HALP2	apolipoprotein C-III	2	
APOE	AD2, APO-E, LDLCQ5, LPG	apolipoprotein E	13	
APOH	B2G1, B2GP1, BG	apolipoprotein H (beta-2-glycoprotein I)	7	
APP	AAA, ABETA, ABPP, AD1, APPI, CTFgamma, CVAP, PN-II, PN2	amyloid beta (A4) precursor protein	2	
KLK3	APS, KLK2A1, PSA, hK3	kallikrein-related peptidase 3	2	
FAS	ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6	Fas cell surface death receptor	14	
FASLG	ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6	Fas ligand (TNF superfamily, member 6)	17	
AQP1	AQP-CHIP, CHIP28, CO	aquaporin 1 (Colton blood group)	4	
AQP2	AQP-CD, WCH-CD	aquaporin 2 (collecting duct)	1	
AQP3	AQP-3, GIL	aquaporin 3 (Gill blood group)	1	
AQP4	HMIWC2, MIWC	aquaporin 4	3	
AR	AIS, AR8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM	androgen receptor	5	
ABCC6	ABC34, ARA, EST349056, GACI2, MLP1, MOAT-E, MOATE, MRP6, PXE, PXE1, URG7	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	1	
AREG	AR, AREGB, CRDGF, SDGF	amphiregulin	3	
ARG1		arginase 1	1	
RHOA	ARH12, ARHA, RHO12, RHOH12	ras homolog family member A	4	
RHOB	ARH6, ARHB, MST081, MSTP081, RHOH6	ras homolog family member B	2	
RHOC	ARH9, ARHC, H9, RHOH9	ras homolog family member C	1	
RHOH	ARHH, TTF	ras homolog family member H	1	
ARNT	HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2	aryl hydrocarbon receptor nuclear translocator	1	
ARNTL	BMAL1, BMAL1c, JAP3, MOP3, PASD3, TIC, bHLHe5	aryl hydrocarbon receptor nuclear translocator-like	1	
ARRB1	ARB1, ARR1	arrestin, beta 1	1	
ARRB2	ARB2, ARR2, BARR2	arrestin, beta 2	2	
ARSF	ASF	arylsulfatase F	1	
ASCL1	ASH1, HASH1, MASH1, bHLHa46	achaete-scute family bHLH transcription factor 1	1	
ASCL2	ASH2, HASH2, MASH2, bHLHa45	achaete-scute family bHLH transcription factor 2	1	
ASIP	AGSW, AGTI, AGTIL, ASP, SHEP9	agouti signaling protein	2	
SERPINC1	AT3, AT3D, ATIII, THPH7	serpin peptidase inhibitor, clade C (antithrombin), member 1	8	
ZFHX3	ATBF1, ATBT, ZNF927	zinc finger homeobox 3	1	
ATF3		activating transcription factor 3	1	
ATF4	CREB-2, CREB2, TAXREB67, TXREB	activating transcription factor 4	2	
ATIC	AICAR, AICARFT, HEL-S-70p, IMPCHASE, PURH	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	3	
ATM	AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1	ATM serine/threonine kinase	2	
RERE	ARG, ARP, ATN1L, DNB1	arginine-glutamic acid dipeptide (RE) repeats	1	
ATOH1	ATH1, HATH1, MATH-1, bHLHa14	atonal bHLH transcription factor 1	2	
ATP2B2	PMCA2, PMCA2a, PMCA2i	ATPase, Ca++ transporting, plasma membrane 2	1	
ATP4A	ATP6A	ATPase, H+/K+ exchanging, alpha polypeptide	1	
ALDH7A1	ATQ1, EPD, PDE	aldehyde dehydrogenase 7 family, member A1	2	
ATP7B	PWD, WC1, WD, WND	ATPase, Cu++ transporting, beta polypeptide	1	
AVP	ADH, ARVP, AVP-NPII, AVRP, VP	arginine vasopressin	6	
AXL	ARK, JTK11, Tyro7, UFO	AXL receptor tyrosine kinase	1	
B2M		beta-2-microglobulin	6	
BAD	BBC2, BCL2L8	BCL2-associated agonist of cell death	1	
BAK1	BAK, BAK-LIKE, BCL2L7, CDN1	BCL2-antagonist/killer 1	1	
BAX	BCL2L4	BCL2-associated X protein	10	
BCHE	CHE1, CHE2, E1	butyrylcholinesterase	5	
CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	3	
BCL2	Bcl-2, PPP1R50	B-cell CLL/lymphoma 2	17	
BCL2L1	BCL-XL/S, BCL2L, BCLX, BCLXL, BCLXS, Bcl-X, PPP1R52, bcl-xL, bcl-xS	BCL2-like 1	8	
BCL2L2	BCL-W, BCL2-L-2, BCLW, PPP1R51	BCL2-like 2	1	
BCL3	BCL4, D19S37	B-cell CLL/lymphoma 3	3	
BCL6	BCL5, BCL6A, LAZ3, ZBTB27, ZNF51	B-cell CLL/lymphoma 6	2	
TNFRSF17	BCM, BCMA, CD269, TNFRSF13A	tumor necrosis factor receptor superfamily, member 17	4	
OPN1SW	BCP, BOP, CBT	opsin 1 (cone pigments), short-wave-sensitive	1	
BCR	ALL, BCR1, CML, D22S11, D22S662, PHL	breakpoint cluster region	2	
BDKRB1	B1BKR, B1R, BDKRB2, BKB1R, BKR1, BRADYB1	bradykinin receptor B1	1	
BDKRB2	B2R, BK-2, BK2, BKR2, BRB2	bradykinin receptor B2	1	
BDNF	ANON2, BULN2	brain-derived neurotrophic factor	10	
CFB	AHUS4, ARMD14, BF, BFD, CFAB, CFBD, FB, FBI12, GBG, H2-Bf, PBF2	complement factor B	1	
BGLAP	BGP, OC, OCN	bone gamma-carboxyglutamate (gla) protein	9	
BGN	DSPG1, PG-S1, PGI, SLRR1A	biglycan	2	
CEACAM1	BGP, BGP1, BGPI	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	3	
BHMT	BHMT1, HEL-S-61p	betaine--homocysteine S-methyltransferase	1	
BICD1	BICD	bicaudal D homolog 1 (Drosophila)	1	
BID	FP497	BH3 interacting domain death agonist	2	
PRDM1	BLIMP1, PRDI-BF1	PR domain containing 1, with ZNF domain	6	
BLK	MODY11	BLK proto-oncogene, Src family tyrosine kinase	7	
BLMH	BH, BMH	bleomycin hydrolase	1	
CXCR5	BLR1, CD185, MDR15	chemokine (C-X-C motif) receptor 5	11	
BMI1	FLVI2/BMI1, PCGF4, RNF51	BMI1 proto-oncogene, polycomb ring finger	1	
BMP1	OI13, PCOLC, PCP, PCP2, TLD	bone morphogenetic protein 1	3	
BMP2	BDA2, BMP2A	bone morphogenetic protein 2	3	
BMP4	BMP2B, BMP2B1, MCOPS6, OFC11, ZYME	bone morphogenetic protein 4	3	
BMP6	VGR, VGR1	bone morphogenetic protein 6	3	
BMP7	OP-1	bone morphogenetic protein 7	3	
BMPR2	BMPR-II, BMPR3, BMR2, BRK-3, POVD1, PPH1, T-ALK	bone morphogenetic protein receptor, type II (serine/threonine kinase)	1	
BMX	ETK, PSCTK2, PSCTK3	BMX non-receptor tyrosine kinase	1	
BPI	BPIFD1, rBPI	bactericidal/permeability-increasing protein	4	
BRCA1	BRCAI, BRCC1, BROVCA1, FANCS, IRIS, PNCA4, PPP1R53, PSCP, RNF53	breast cancer 1, early onset	1	
BRAF	B-RAF1, BRAF1, NS7, RAFB1	B-Raf proto-oncogene, serine/threonine kinase	5	
BRDT	BRD6, CT9	bromodomain, testis-specific	1	
ZFP36L1	BRF1, Berg36, ERF-1, ERF1, RNF162B, TIS11B, cMG1	ZFP36 ring finger protein-like 1	5	
BSG	5F7, CD147, EMMPRIN, M6, OK, TCSF	basigin (Ok blood group)	4	
BST1	CD157	bone marrow stromal cell antigen 1	2	
BST2	CD317, TETHERIN	bone marrow stromal cell antigen 2	2	
BTC		betacellulin	1	
BTF3P11	BTF3L1, HUMBTFB, OCIF, OPG, TNFRSF11B	basic transcription factor 3 pseudogene 11	2	
BTG1		B-cell translocation gene 1, anti-proliferative	1	
BTK	AGMX1, AT, ATK, BPK, IMD1, PSCTK1, XLA	Bruton agammaglobulinemia tyrosine kinase	2	
TSPO	BPBS, BZRP, DBI, IBP, MBR, PBR, PBS, PKBS, PTBR, mDRC, pk18	translocator protein (18kDa)	3	
C1QBP	GC1QBP, HABP1, SF2p32, gC1Q-R, gC1qR, p32	complement component 1, q subcomponent binding protein	1	
SERPING1	C1IN, C1INH, C1NH, HAE1, HAE2	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	2	
C1QA		complement component 1, q subcomponent, A chain	6	
C1QB		complement component 1, q subcomponent, B chain	1	
C1S		complement component 1, s subcomponent	3	
C2	ARMD14, CO2	complement component 2	11	
C3	AHUS5, ARMD9, ASP, C3a, C3b, CPAMD1, HEL-S-62p	complement component 3	16	
C4A	C4, C4A2, C4A3, C4A4, C4A6, C4AD, C4S, CO4, CPAMD2, RG	complement component 4A (Rodgers blood group)	21	
C4B	C4B1, C4B12, C4B2, C4B3, C4B5, C4BD, C4B_2, C4F, CH, CO4, CPAMD3	complement component 4B (Chido blood group)	11	
C4BPA	C4BP, PRP	complement component 4 binding protein, alpha	3	
C4BPB	C4BP	complement component 4 binding protein, beta	2	
CAPN5	ADNIV, HTRA3, VRNI, nCL-3	calpain 5	1	
C5	C5D, C5a, C5b, CPAMD4, ECLZB	complement component 5	7	
C5AR1	C5A, C5AR, C5R1, CD88	complement component 5a receptor 1	9	
C7		complement component 7	2	
C9	ARMD15, C9D	complement component 9	5	
TMEM258	C11orf10	transmembrane protein 258	1	
TMEM50B	C21orf4, HCVP7TP3	transmembrane protein 50B	1	
CA1	CA-I, CAB, Car1, HEL-S-11	carbonic anhydrase I	2	
CA2	CA-II, CAC, CAII, Car2, HEL-76	carbonic anhydrase II	2	
CA3	CAIII, Car3	carbonic anhydrase III	2	
CA8	CA-VIII, CALS, CAMRQ3, CARP	carbonic anhydrase VIII	1	
CA9	CAIX, MN	carbonic anhydrase IX	1	
CACNA1C	CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS	calcium channel, voltage-dependent, L type, alpha 1C subunit	1	
DDR1	CAK, CD167, DDR, EDDR1, HGK2, MCK10, NEP, NTRK4, PTK3, PTK3A, RTK6, TRKE	discoidin domain receptor tyrosine kinase 1	2	
CACNA2D1	CACNA2, CACNL2A, CCHL2A, LINC01112, lncRNA-N3	calcium channel, voltage-dependent, alpha 2/delta subunit 1	2	
CALB1	CALB, D-28K	calbindin 1, 28kDa	2	
CALB2	CAB29, CAL2, CR	calbindin 2	1	
CALCA	CALC1, CGRP, CGRP-I, CGRP1, CT, KC	calcitonin-related polypeptide alpha	11	
CALM3	HEL-S-72, PHKD, PHKD3	calmodulin 3 (phosphorylase kinase, delta)	1	
CALR	CRT, HEL-S-99n, RO, SSA, cC1qR	calreticulin	4	
CAMK4	CaMK IV, CaMK-GR, IV, caMK	calcium/calmodulin-dependent protein kinase IV	2	
CAMP	CAP-18, CAP18, CRAMP, FALL-39, FALL39, HSD26, LL37	cathelicidin antimicrobial peptide	7	
CANX	CNX, IP90, P90	calnexin	1	
CAST	BS-17, PLACK	calpastatin	4	
CAPZB	CAPB, CAPPB, CAPZ	capping protein (actin filament) muscle Z-line, beta	2	
CASP1	ICE, IL1BC, P45	caspase 1, apoptosis-related cysteine peptidase	11	
CASP3	CPP32, CPP32B, SCA-1	caspase 3, apoptosis-related cysteine peptidase	6	
CASP6	MCH2	caspase 6, apoptosis-related cysteine peptidase	1	
CASP7	CASP-7, CMH-1, ICE-LAP3, LICE2, MCH3	caspase 7, apoptosis-related cysteine peptidase	3	
CASP8	ALPS2B, CAP4, Casp-8, FLICE, MACH, MCH5	caspase 8, apoptosis-related cysteine peptidase	9	
CASP9	APAF-3, APAF3, ICE-LAP6, MCH6, PPP1R56	caspase 9, apoptosis-related cysteine peptidase	3	
CASP10	ALPS2, FLICE2, MCH4	caspase 10, apoptosis-related cysteine peptidase	2	
CASR	CAR, EIG8, FHH, FIH, GPRC2A, HHC, HHC1, HYPOC1, NSHPT, PCAR1	calcium-sensing receptor	4	
CAT		catalase	12	
CAV1	BSCL3, CGL3, LCCNS, MSTP085, PPH3, VIP21	caveolin 1, caveolae protein, 22kDa	4	
RUNX2	AML3, CBF-alpha-1, CBFA1, CCD, CCD1, CLCD, OSF-2, OSF2, PEA2aA, PEBP2aA	runt-related transcription factor 2	2	
RUNX1	AML1, AML1-EVI-1, AMLCR1, CBFA2, EVI-1, PEBP2aB	runt-related transcription factor 1	8	
CBFA2T3	ETO2, MTG16, MTGR2, ZMYND4	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	1	
RUNX3	AML2, CBFA3, PEBP2aC	runt-related transcription factor 3	5	
SERPINA6	CBG	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	1	
CBL	C-CBL, CBL2, FRA11B, NSLL, RNF55	Cbl proto-oncogene, E3 ubiquitin protein ligase	2	
CBLB	Cbl-b, Nbla00127, RNF56	Cbl proto-oncogene B, E3 ubiquitin protein ligase	3	
SERPINH1	AsTP3, CBP1, CBP2, HSP47, OI10, PIG14, PPROM, RA-A47, SERPINH2, gp46	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	2	
CBR1	CBR, SDR21C1, hCBR1	carbonyl reductase 1	3	
CBS	HIP4	cystathionine-beta-synthase	1	
CCK		cholecystokinin	2	
CCNA2	CCN1, CCNA	cyclin A2	2	
CCNE1	CCNE, pCCNE1	cyclin E1	1	
CCT		cataract, congenital, total	1	
CD1A	CD1, FCB6, HTA1, R4, T6	CD1a molecule	3	
CD1B	CD1, CD1A, R1	CD1b molecule	2	
CD1C	BDCA1, CD1, CD1A, R7	CD1c molecule	4	
CD1D	CD1A, R3	CD1d molecule	8	
CD2	LFA-2, SRBC, T11	CD2 molecule	7	
CD247	CD3-ZETA, CD3H, CD3Q, CD3Z, IMD25, T3Z, TCRZ	CD247 molecule	4	
CD4	CD4mut	CD4 molecule	29	
CD5	LEU1, T1	CD5 molecule	5	
CD6	TP120	CD6 molecule	4	
CD7	GP40, LEU-9, TP41, Tp40	CD7 molecule	1	
CD8A	CD8, Leu2, MAL, p32	CD8a molecule	24	
CD8B	CD8B1, LEU2, LY3, LYT3, P37	CD8b molecule	1	
CD9	BTCC-1, DRAP-27, MIC3, MRP-1, TSPAN-29, TSPAN29	CD9 molecule	2	
CD14		CD14 molecule	15	
CD19	B4, CVID3	CD19 molecule	12	
MS4A1	B1, Bp35, CD20, CVID5, LEU-16, MS4A2, S7	membrane-spanning 4-domains, subfamily A, member 1	6	
CD22	SIGLEC-2, SIGLEC2	CD22 molecule	2	
CD27	S152, S152. LPFS2, T14, TNFRSF7, Tp55	CD27 molecule	10	
CD28	Tp44	CD28 molecule	18	
CD80	B7, B7-1, B7.1, BB1, CD28LG, CD28LG1, LAB7	CD80 molecule	14	
CD86	B7-2, B7.2, B70, CD28LG2, LAB72	CD86 molecule	15	
TNFRSF8	CD30, D1S166E, Ki-1	tumor necrosis factor receptor superfamily, member 8	4	
TNFSF8	CD153, CD30L, CD30LG	tumor necrosis factor (ligand) superfamily, member 8	6	
CD33	SIGLEC-3, SIGLEC3, p67	CD33 molecule	1	
CD34		CD34 molecule	10	
CD36	BDPLT10, CHDS7, FAT, GP3B, GP4, GPIV, PASIV, SCARB3	CD36 molecule (thrombospondin receptor)	5	
SCARB1	CD36L1, CLA-1, CLA1, HDLQTL6, SR-BI, SRB1	scavenger receptor class B, member 1	1	
SCARB2	AMRF, CD36L2, EPM4, HLGP85, LGP85, LIMP-2, LIMPII, SR-BII	scavenger receptor class B, member 2	1	
CD38	ADPRC 1, T10	CD38 molecule	10	
ENTPD1	ATPDase, CD39, NTPDase-1, SPG64	ectonucleoside triphosphate diphosphohydrolase 1	7	
CD40	Bp50, CDW40, TNFRSF5, p50	CD40 molecule, TNF receptor superfamily member 5	18	
CD40LG	CD154, CD40L, HIGM1, IGM, IMD3, T-BAM, TNFSF5, TRAP, gp39, hCD40L	CD40 ligand	20	
CD44	CDW44, CSPG8, ECMR-III, HCELL, HUTCH-I, IN, LHR, MC56, MDU2, MDU3, MIC4, Pgp1	CD44 molecule (Indian blood group)	10	
CD47	IAP, MER6, OA3	CD47 molecule	2	
CD48	BCM1, BLAST, BLAST1, MEM-102, SLAMF2, hCD48, mCD48	CD48 molecule	3	
CD53	MOX44, TSPAN25	CD53 molecule	1	
CD58	LFA-3, LFA3, ag3	CD58 molecule	2	
CD59	16.3A5, 1F5, EJ16, EJ30, EL32, G344, HRF-20, HRF20, MAC-IP, MACIF, MEM43, MIC11, MIN1, MIN2, MIN3, MIRL, MSK21, p18-20	CD59 molecule, complement regulatory protein	4	
CD68	GP110, LAMP4, SCARD1	CD68 molecule	6	
CD69	AIM, BL-AC/P26, CLEC2C, EA1, GP32/28, MLR-3	CD69 molecule	9	
CD70	CD27L, CD27LG, TNFSF7	CD70 molecule	5	
CD72	CD72b, LYB2	CD72 molecule	4	
CD74	DHLAG, HLADG, II, Ia-GAMMA	CD74 molecule, major histocompatibility complex, class II invariant chain	3	
CD79A	IGA, MB-1	CD79a molecule, immunoglobulin-associated alpha	2	
CD79B	AGM6, B29, IGB	CD79b molecule, immunoglobulin-associated beta	2	
CD81	CVID6, S5.7, TAPA1, TSPAN28	CD81 molecule	2	
ADGRE5	CD97, TM7LN1	adhesion G protein-coupled receptor E5	1	
CD151	GP27, MER2, PETA-3, RAPH, SFA1, TSPAN24	CD151 molecule (Raph blood group)	1	
CDA	CDD	cytidine deaminase	1	
LRBA	BGL, CDC4L, CVID8, LAB300, LBA	LPS-responsive vesicle trafficking, beach and anchor containing	3	
CDC42	CDC42Hs, G25K	cell division cycle 42	1	
CDH1	Arc-1, CD324, CDHE, ECAD, LCAM, UVO	cadherin 1, type 1	9	
CDH2	CD325, CDHN, CDw325, NCAD	cadherin 2, type 1, N-cadherin (neuronal)	3	
CDH3	CDHP, HJMD, PCAD	cadherin 3, type 1, P-cadherin (placental)	1	
CDH5	7B4, CD144	cadherin 5, type 2 (vascular endothelium)	2	
CDH11	CAD11, CDHOB, OB, OSF-4	cadherin 11, type 2, OB-cadherin (osteoblast)	3	
CDH13	CDHH, P105	cadherin 13	2	
CDH18	CDH14, CDH14L, CDH24	cadherin 18, type 2	1	
CDK2	CDKN2, p33(CDK2)	cyclin-dependent kinase 2	4	
CDK4	CMM3, PSK-J3	cyclin-dependent kinase 4	2	
CDK5	LIS7, PSSALRE	cyclin-dependent kinase 5	1	
CDK6	MCPH12, PLSTIRE	cyclin-dependent kinase 6	2	
